draw_id,draw_date,day_of_week,prize_1st,prize_2nd,prize_3rd,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10,jackpot_1_prize,jackpot_1_winners,jackpot_2_prize,jackpot_2_winners,gold_jackpot_1_prize,gold_jackpot_1_winners,gold_jackpot_2_prize,gold_jackpot_2_winners,life_num_1,life_num_2,life_num_3,life_num_4,life_num_5,life_num_6,life_num_7,life_num_8,life_bonus_1,life_bonus_2,life_winner_1,life_winner_2,is_valid_jackpot,is_valid_gold_jackpot,is_valid_mgold,is_valid_life
455/21,02/01/2021,Sun,2919,8810,5151,6320,9792,6930,5296,5454,1373,8182,3468,3463,4948,8993,2847,9793,5140,6359,0906,8351,6766,8459,4027,9226664.77,0.0,333817.24,1.3709230708,7709871.2,0.05,128996.84,0.2,03,04,07,09,19,28,30,31,32,34,0.0,1.0,1,1,1,1
456/21,03/01/2021,Mon,5083,2070,9228,9118,8254,8312,6575,8766,3465,3605,8859,2924,4681,6984,2419,7102,6209,3776,2102,9417,5703,8891,9205,10070039.61,0.0,153340.88,2.1806773723,7381026.03,0.0,123260.44,0.225,11,14,16,17,27,31,32,35,19,26,0.0,0.0,1,1,1,1
457/21,06/01/2021,Thu,7484,2720,7505,0767,3466,5544,6289,8153,3723,5121,3750,8307,5043,5776,5727,1152,5146,5376,5431,8437,1738,4666,4737,10972889.58,0.0519108931,164154.54,0.0,7441415.83,0.0,116914.89,0.225,02,06,11,13,14,21,27,34,07,31,0.0,0.0,1,1,1,1
458/21,09/01/2021,Sun,2894,4636,4062,7192,5973,8447,9759,9346,9058,1390,5669,0465,3195,2831,2184,2674,7885,2197,1999,9482,6677,8934,4325,11328269.45,0.0,332334.97,0.1247874494,7502277.86,0.0,112164.34,0.0,04,07,09,19,21,26,28,33,03,13,0.0,0.0,1,1,1,1
459/21,10/01/2021,Mon,6473,1905,4693,1772,2349,2473,0697,0246,2772,8687,9860,3873,2017,2874,8003,9728,5178,0910,3993,9392,6746,2019,7830,12259538.99,0.0,460185.48,0.4272761911,7560459.96,0.0,132770.5,0.0,07,09,10,13,14,18,19,21,02,06,0.0,0.0,1,1,1,1
460/21,13/01/2021,Thu,2908,5845,4608,1325,2578,4907,3373,1035,2568,1037,6690,3640,4212,5949,6365,9184,4419,2357,4631,1694,1434,9593,6450,12791010.01,0.0,360190.28,0.210623672,7594589.62,0.0,144858.09,0.0,01,05,13,14,16,23,34,36,10,25,0.0,0.0,1,1,1,1
461/21,16/01/2021,Sun,6619,4623,6860,6138,7660,5278,2313,8010,2221,3722,6021,9274,7756,3469,5781,2778,8174,1892,2659,0171,5101,1591,4273,13221903.11,0.0,362669.88,1.1297269632,7621144.98,0.0,154263.11,0.1,04,06,07,11,12,17,21,31,03,26,0.0,0.0,1,1,1,1
462/21,17/01/2021,Mon,7035,8385,2216,2352,0949,7632,7643,0283,7604,7153,6905,1119,5576,5404,3603,9773,4082,2378,5153,0539,4456,3449,2196,13636812.72,0.0285714286,100000.0,0.0054214876,7646473.14,0.0,147807.19,0.0,05,11,13,14,16,20,21,24,09,36,0.0,0.0,1,1,1,1
463/21,20/01/2021,Thu,1134,0229,1868,7050,7298,6075,0038,5936,7398,4317,8672,9755,1516,0595,9487,0045,3067,2528,0516,9231,1702,7134,5498,13614585.43,0.0,141695.22,0.0027855153,7668823.38,0.0,155722.9,0.0,05,07,10,15,24,30,31,32,29,33,0.0,0.0,1,1,1,1
464/21,23/01/2021,Sun,6299,2973,4256,5836,6953,8411,4647,9651,1636,9313,3428,0468,4712,1278,6851,1826,6711,0957,2062,2689,8911,6926,9275,13832643.46,0.0,180947.45,0.005988024,7682856.23,0.0,160692.87,0.0,07,08,19,22,28,29,30,36,09,12,0.0,0.0,1,1,1,1
